molecular formula,Altamaha_PP48_000107-4_p08
C19H20O5,2194302.8
C16H24O5S,1801599.9
C16H25O5P,2579843.5
C23H20O2,1720964.3
C16H24O7,19517830.0
C17H28O6,2619283.0
C(13)12H12O10,2869441.8
C16H11O7N,1943748.4
C(13)13H17O7P,3667659.8
C(13)13H16O9,9296591.0
C(13)14H21O6P,3654872.5
C(13)14H20O8,9577179.0
C(13)15H25O5P,1644773.5
C(13)15H24O7,3002088.3
C16H10O8,4908062.5
C13H14O8S,3649568.0
C13H15O8P,4110371.3
C13H14O10,31323174.0
C24H10O2,1984809.6
C17H14O7,7281707.5
C14H18O7S,4271148.5
C14H19O7P,11945008.0
C14H18O9,48100404.0
C17H20ON2P2,1965622.4
C18H18O6,18633784.0
C15H22O6S,3445817.5
C15H23O6P,9391165.0
C15H22O8,25330752.0
C16H27O5P,192156752.0
C16H26O7,4525132.5
